contract_id;account_id;external_id;contract_name;contract_status;contract_type;engagement_type;amount;payment_type;monthly_points_allotment;contract_start_date;contract_end_date;contract_renewal_date;account_manager;team_manager;clickup_folder_id;quickbooks_customer_id;quickbooks_business_unit_id;customer_display_type;hosting;priority;created_at;updated_at;deal_id;contract_description;slack_channel_internal;slack_channel_external;dollar_per_hour;autorenewal;initial_term_length;subsequent_term_length;notice_period;next_invoice_date
fc929bc1-8e6d-4718-8058-6510ab343d75;;MID20268205;Acacia Advisors - Aligned Growth Engine Launch;pending;project;strategic;6000;invoice;60;2026-01-12;;;;;;;193514801304854;points;false;Tier 1;2026-01-19 19:29:45.492948+00;2026-01-19 19:29:45.492948+00;53550487307;Acacia Advisors - Aligned Growth Engine Launch;;;;false;;;;
8ea12c0c-e33b-4ac7-a349-2b8a522c8b50;;MID20265733;Engage USA - Website Project;active;project;tactical;15000;invoice;0;2026-01-08;;;;;90175428513;2198;193514801304854;points;false;Tier 1;2026-01-19 19:29:46.184128+00;2026-01-19 19:29:46.184128+00;53284608394;"Website plan; website build; and testimonials";;;;false;;;;
b8cc6992-5961-49f9-b9c5-f6fa08f0149a;;MID20253071;CoachHub - ABM Aligned Growth Engine;active;project;strategic;0;invoice;0;2025-12-14;;;;;90174964255;2196;193514801304854;points;false;Tier 1;2026-01-19 19:29:46.875266+00;2026-01-19 19:29:46.875266+00;49134767250;Aligned Growth Engine focused on ABM;;;;false;;;;
4aa1e0b0-c66a-4025-b0a2-2d1b998c8d99;;MID20253356;AutoBytes - 2026 Services;active;recurring;strategic;4000;invoice;70;2025-12-31;;;;;90174968281;;193514801304854;points;false;Tier 1;2026-01-19 19:29:47.224937+00;2026-01-19 19:29:47.224937+00;52332113843;AutoBytes - 2026 Services;;;;true;365;90;45;2026-02-01
1194e57c-a4a6-4e1e-bac3-83c4ff3c4ad7;;MID20256782;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;active;recurring;strategic;6000;invoice;60;2025-12-14;;;;;90174760409;2189;193514801304854;points;false;Tier 4;2026-01-19 19:29:47.907+00;2026-01-19 19:29:47.907+00;48476347916;Gallagher & Mohan - Ongoing Marketing Services - Post AGE;;;;true;180;180;	-45;2026-02-01
db0afec5-85bc-41b0-8c0f-79b368eb3b16;;MID20251456;Rugged Robotics - Marketing services;active;recurring;tactical;6000;invoice;60;2025-12-01;;;;;90174380918;14;9341454074930384;points;false;Tier 4;2026-01-19 19:29:48.60661+00;2026-01-19 19:29:48.60661+00;47416277118;"Based on conversations and information shared by Rugged Robotics; we have prepared a list of priorities for this engagement. Services may include (but is not limited to) any of the following:  Manage ABM  Manage Paid Media  Manage Website  Manage Performance Reporting  Manage Tech Stack  Conduct Weekly Meetings The above equates to ~50 points per month";;;;true;150;150;45;2026-02-01
72cdc11e-fd4f-4d90-8688-1fc1484de2b0;;MID20256525;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;active;recurring;strategic;8000;invoice;100;2025-11-13;;;;;90173953398;2186;193514801304854;points;false;Tier 4;2026-01-19 19:29:48.960543+00;2026-01-19 19:29:48.960543+00;46794722862;Kersten Talent Capital - Aligned Growth Engine Ongoing Services;;;;false;365;365;45;2026-02-01
f7cb6894-96eb-4cac-bd39-7033dd775bfd;;MID20252000;Gallagher & Mohan - Aligned Growth Engine Launch;inactive;project;strategic;0;invoice;0;2025-11-12;;;;;90173686601;2189;193514801304854;points;false;Tier 1;2026-01-19 19:29:49.664766+00;2026-01-19 19:29:49.664766+00;45664271499;Gallagher & Mohan - Aligned Growth Engine Launch;;;;false;;;;
33d9714a-29e6-4a57-b278-871924fd7d36;;MID20258018;Magnalign - Video Project Bundle;active;project;tactical;13500;invoice;0;2025-10-28;;;;;90173466176;2187;193514801304854;points;false;Tier 3;2026-01-19 19:29:50.40155+00;2026-01-19 19:29:50.40155+00;43739929877;Magnalign - Video Project Bundle;;;;false;;;;
7527b420-287f-4d3c-9f12-18e3caa821b5;;MID20256341;Bionomous - Aligned Growth Engine Launch;inactive;project;strategic;0;invoice;0;2025-10-24;;;;;90173403282;;9341454074930384;points;false;Tier 1;2026-01-19 19:29:50.742682+00;2026-01-19 19:29:50.742682+00;45748739381;Bionomous Aligned Growth Engine Launch;;;;false;;;;
22bb575d-5ac6-402e-a261-9d76c05f085d;;MID20252351;Lumen5 - Show Notes;pending;project;tactical;2000;invoice;20;2025-11-01;;;;;;;9341452190397078;points;false;Tier 4;2026-01-19 19:29:51.431165+00;2026-01-19 19:29:51.431165+00;45894056034;10 Show Notes;;;;false;;;;
1847f82e-ba4f-4698-b3d2-1a754278fcb2;;MID20253745;Ponce Bank - Hubspot Reseller Deal;active;recurring;tactical;1178.87;invoice;0;2025-06-27;;;;;;;193514801304854;points;true;Tier 4;2026-01-19 19:29:52.134402+00;2026-01-19 19:29:52.134402+00;39040542594;Referral commission for reselling Hubspot;;;;false;365;0;0;
3f1a5b71-4c38-4724-98d4-d74c67c9f249;;MID20254683;Adorama Business Solutions - Initial Contract;pending;recurring;tactical;6300;invoice;63;2025-09-22;;;;;;;193514801304854;points;false;Tier 1;2026-01-19 19:29:52.480289+00;2026-01-19 19:29:52.480289+00;43715516006;Adorama Business Solutions - Initial Contract;;;;true;30;30;30;
e7ee8379-ce8a-4b12-900b-efed995b0c33;;MID20255806;Magnalign - Aligned Growth Engine;inactive;project;strategic;0;invoice;0;2025-09-18;;;;;90172685647;2181;193514801304854;points;false;Tier 1;2026-01-19 19:29:53.177276+00;2026-01-19 19:29:53.177276+00;40474701716;Aligned Growth Engine;;;;false;;;;
52b3ee0f-cbad-4031-a387-79ecb54874fb;;MID20252924;Aquatic Informatics - Hubspot Implementation;active;recurring;strategic;10000;invoice;100;2025-10-21;;;;;90173310160;2185;193514801304854;points;false;Tier 3;2026-01-19 19:29:53.882512+00;2026-01-19 19:29:53.882512+00;43098985042;Hubspot implementation;;;;true;180;90;	-45;2026-02-01
9df79b81-cb12-4318-b5f2-4b11830442ed;;MID20251898;Data Assessment Solutions - Aligned Growth Engine;inactive;project;strategic;0;invoice;0;2025-08-27;;;;;90172650172;;193514801304854;points;false;Tier 1;2026-01-19 19:29:54.225268+00;2026-01-19 19:29:54.225268+00;41953535554;Aligned Growth Engine launch.;;;;false;;;;
873d2003-254b-4d23-aa0b-17d22c8d2f00;;MID20253508;Ecosystems - Aligned Growth Engine;active;project;strategic;0;invoice;0;2025-08-08;;;;;90172614805;2174;193514801304854;points;false;Tier 1;2026-01-19 19:29:54.921251+00;2026-01-19 19:29:54.921251+00;40445863050;This will be an Aligned Growth Engine. We're doing it for $0 so we'll need to credit 80 (60?) points to them. This will have massive upside and will be spearheaded by Tristan and Justin.;;;;false;;;;
8f7d3fd7-79a8-4ffb-9f59-0e82a321f909;;MID20253882;Savvy Source - Monthly marketing services;inactive;recurring;strategic;4000;invoice;60;2025-08-01;;;;;90172589972;2162;193514801304854;points;false;Tier 2;2026-01-19 19:29:55.624439+00;2026-01-19 19:29:55.624439+00;40852271013;"ABM; content; reporting";;;;true;90;90;	-15;2025-11-01
5d0f4e4d-977a-4962-bf82-948872628805;;MID20253005;Chetu - Monthly Marketing Services;pending;recurring;strategic;30000;invoice;300;2025-08-01;;;;;XXXXXXXXXXX;2159;193514801304854;points;false;Tier 1;2026-01-19 19:29:55.963194+00;2026-01-19 19:29:55.963194+00;39015463566;Webinar and Influencer Strategies.;;;;false;90;30;	-15;
38584da6-e043-47d9-afe1-eba31234d65d;;MID20255660;Ease - Content marketing services;active;recurring;tactical;5000;invoice;55;2025-07-17;;;;;90172586528;889;123145757279014;points;false;Tier 4;2026-01-19 19:29:56.646938+00;2026-01-19 19:29:56.646938+00;39333709418;Additional content services;;;;true;90;90;	-45;2025-08-01
2ae90825-8a31-478d-b4b6-be44e04ac984;;MID20258017;Savvy Source - Aligned Growth Engine;inactive;project;strategic;4000;invoice;0;2025-06-30;;;;;90172542989;2162;193514801304854;points;false;Tier 1;2026-01-19 19:29:57.340959+00;2026-01-19 19:29:57.340959+00;38791325452;Discounted AGe;;;;false;;;;
059db008-bde9-43e2-b5ea-2d8080194a92;;MID20258718;"Ponce Bank - Creative; Digital; and Website Retainer";active;recurring;tactical;8750;invoice;87;2025-07-01;;;;;90172534599;61;9341454074930384;hours;false;Tier 4;2026-01-19 19:29:57.699483+00;2026-01-19 19:29:57.699483+00;35617639566;"Creative; digital and website retainer services";;;175;false;365;0;90;2026-02-01
b656cd60-d04a-4d97-92dd-d3bd1690dc9a;;MID20253135;Finfare - Campaign management retainer;canceled;recurring;tactical;5250;invoice;52;2025-06-12;;;;;XXXXXXXXXXX;51;9341454074930384;points;false;Tier 4;2026-01-19 19:29:58.404303+00;2026-01-19 19:29:58.404303+00;34743588098;Campaign management;;;;false;203;0;	-30;2025-08-22
4cf099a8-6df8-4d70-a3eb-053cb48f9f1f;;MID20257475;Encamp - Brand activation project;active;project;tactical;0;invoice;0;2025-06-12;;;;;90172504180;58;9341454074930384;points;false;Tier 4;2026-01-19 19:29:59.086246+00;2026-01-19 19:29:59.086246+00;38465587247;Brand activation project;;;;false;;;;2025-07-01
d9a3edb5-30c5-444b-ae55-bbf2c2f52c13;;MID20254476;Voyage Vet Advisors - Video Project;pending;project;tactical;4500;invoice;0;2025-06-15;;;;;XXXXXXXXXXX;42;9341452190397078;points;false;Tier 1;2026-01-19 19:29:59.424308+00;2026-01-19 19:29:59.424308+00;38591271227;Video project;;;;false;;;;
e9d0d6ae-99ff-4918-a109-f999885fe0a1;;MID20251755;Summa SCI - Aligned Growth Engine;canceled;project;strategic;0;invoice;0;2025-05-21;;;;;90172466103;2154;193514801304854;points;false;Tier 1;2026-01-19 19:30:00.112808+00;2026-01-19 19:30:00.112808+00;35447504774;Aligned growth engine project designed to turn into a long term engagement;;;;false;;;;
b9d63e7b-3813-4a13-99d0-24735f0a2276;;MID20251093;Enki - Aligned Growth Engine;inactive;project;strategic;0;invoice;0;2035-05-29;;;;;90172472743;2152;193514801304854;points;false;Tier 1;2026-01-19 19:30:00.7854+00;2026-01-19 19:30:00.7854+00;37360291636;"Initial contract / deal for the Aligned Growth Engine; we are doing this to win the longer term engagement.";;;;false;;;;
7b7b3219-17cf-4974-8263-7e1c60c8917c;;MID20259220;ECRI - 3 blog post content bundle;active;project;tactical;1800;invoice;0;2025-05-27;;;;;90172469558;36;9341452190397078;points;false;Tier 4;2026-01-19 19:30:01.126256+00;2026-01-19 19:30:01.126256+00;37157807129;10 Principles of Systems Thinking (starts on slide 68) 14 Design Heuristics (rules of thumb) (starts on slide 41) 5 Rules of Thinking Like a Human Factors Engineer (starts on slide 115);;;;false;0;0;0;
6a9f190a-9e44-4b24-8f1d-d82022950bb9;;MID20258909;Agrippon - Marketing services;active;recurring;strategic;5000;invoice;50;2025-06-01;;;;;90172414537;2144;193514801304854;points;false;Tier 4;2026-01-19 19:30:01.71098+00;2026-01-19 19:30:01.71098+00;36987863846;Stuff;;;;true;180;90;	-45;2026-02-01
ea4a5312-f5e2-4198-a335-aa60a2398574;;MID20264158;FoxyAI - Extension;pending;recurring;tactical;3500;invoice;35;2026-02-01;;;;;;;9341454074930384;hours;false;Tier 4;2026-01-19 19:29:45.835266+00;2026-01-19 19:29:45.835266+00;53664186799;FoxyAI - Extension;;;175;false;365;365;45;
3b39d1e2-cf4e-41b0-942a-7cb3d536b84b;;MID20267991;Rezku POS - Aligned Growth Engine Launch;active;project;strategic;3000;invoice;30;2026-01-12;;;;;90175301539;2197;193514801304854;points;false;Tier 1;2026-01-19 19:29:46.527383+00;2026-01-19 19:29:46.527383+00;46815402;Rezku POS - Aligned Growth Engine Launch;;;;false;;;;
ae79e392-17c6-477b-8c36-88db208d3b12;;MID20252432;Milestone Towers - Aligned Growth Engine;active;project;strategic;8000;invoice;0;2025-12-12;;;;;90175301117;2195;193514801304854;points;false;Tier 1;2026-01-19 19:29:47.568277+00;2026-01-19 19:29:47.568277+00;38333882931;"In-Depth Research and Strategy Process Comprehensive analysis of historical performance; market landscape; and competitor positioning to build a tailored strategy. Alignment on Goals and Success Metrics Collaborate to define 'ROI' for your business and ensure both teams share a unified understanding of objectives and key metrics. Annual and Quarterly Goal Setting  Establish benchmarks; define key metrics; and outline a strategic roadmap for the first quarter. Foundation Research & Roadmap Documentation Delivery of 100+ pgs. of documentation outlining the results of both the research and strategy work completed during the launch phase.";;;;false;;;;
4bdfa9a6-f0ad-410c-91c4-81d670748ace;;MID20251958;Washington Speaker's Bureau - Aligned Growth Engine Launch;active;project;strategic;6000;invoice;0;2025-12-04;;;;;90174558390;2192;193514801304854;points;false;Tier 1;2026-01-19 19:29:48.242984+00;2026-01-19 19:29:48.242984+00;48181079355;Washington Speaker's Bureau - Aligned Growth Engine Launch;;;;false;;;;
a143333f-cadc-44c4-8dc1-4d473032dbdd;;MID20254794;Encamp - Ebook Designs;pending;project;tactical;3000;invoice;0;2025-11-05;;;;;;58;9341454074930384;points;false;Tier 1;2026-01-19 19:29:49.321197+00;2026-01-19 19:29:49.321197+00;48171775030;Ebook designs for two key deliverables;;;;false;;;;
