contract_id,account_id,quickbooks_business_unit_id,quickbooks_customer_id,deal_id,contract_name,contract_description,contract_status,hosting,amount,payment_type,customer_display_type,engagement_type,clickup_folder_id,contract_type,services_provided,contract_start_date,contract_renewal_date,contract_end_date,points_purchased,points_working,points_delivered,points_balance,priority,account_manager,team_manager,points_burden,monthly_points_allotment,link_to_slack_channel,created_at,updated_at,external_id,dollar_per_hour,autorenewal,initial_term_length,subsequent_term_length,notice_period,next_invoice_date
f690d54e-51f6-4f88-89ed-a2449348b031,4846139d-4bdb-453a-91b0-a924c55e37f5,193514801304854,2197,53386141110,Rezku POS - Ongoing Services - Post AGE,"Rezku POS - Ongoing Services - Post AGE

80 Points / $8,000 per month

Marketers in Demand will also gift an additional 20 points/$2,000 in additional services per month resulting in a total of 100 points per month.

Additionally, Marketers in Demand will apply a one-time credit of 60 points onto the account from the Aligned Growth Engine Launch phase.
",active,false,8000.00,invoice,points,strategic,90176366509,recurring,,2026-02-05,,,,,,,Tier 1,95153711,89383198,,80.00,,2026-02-04 18:11:56.24364+00,2026-02-05 03:43:37.955687+00,MID20268831,,true,180,180,45,
4dac7260-a045-454e-bdcd-6a4032b91590,21a640c8-d084-4b9d-afb4-c4ae2f4d3e2d,193514801304854,2192,51379882388,Washington Speakers Bureau - Ongoing Marketing Services,WSB - Ongoing Marketing Services,active,false,20000.00,invoice,points,strategic,90176221159,recurring,,2026-02-01,,,,,,,Tier 1,89312700,89383198,,200.00,,2026-01-30 19:15:15.744627+00,2026-02-07 13:14:25.133591+00,MID20262471,,true,180,180,45,2026-03-01
21c1f06d-5856-4aa1-931a-bba54f9de41c,3a8f91b3-2a35-4bc6-bd60-d77319d725e6,193514801304854,2204,52002383979,DocLib - ABM Growth Engine,DocLib - ABM Growth Engine,active,false,8000.00,invoice,points,strategic,90176366842,project,,2026-01-30,,,,,,,Tier 1,,,,80.00,,2026-01-29 20:19:14.906975+00,2026-02-05 03:43:15.162779+00,MID20266369,,false,,,,
b8931ead-11bd-4bb8-b23e-65ca4a0fb3a0,6f8a1b89-32af-471e-80df-0d9abca8801c,9341452190397078,11,54835542406,Transport Topics - Blog Post Bundle,Transport Topics - Blog Post Bundle - 8 blog psts,active,false,4000.00,invoice,points,tactical,90176118625,project,,2026-02-02,,,,,,,Tier 4,89321438,50351772,,40.00,,2026-01-28 04:36:12.788462+00,2026-02-01 04:50:40.345807+00,MID20263885,,false,,,,
d924b6ca-c99d-4d09-a4c4-93f1a692e0b2,,193514801304854,,4534534534534,Test,Test,active,false,6000.00,invoice,points,strategic,,project,,2026-01-20,,,,,,,Tier 1,,,,60.00,,2026-01-21 19:47:48.664559+00,2026-01-21 19:47:48.664559+00,MID20267756,,false,,,,
bf2e80e6-056e-47fc-8742-9fd8d0d493f5,9c970129-a82a-4c6b-80ee-ae4a4aed6c87,193514801304854,41890,53550487307,Acacia Advisors - Aligned Growth Engine Launch,Acacia Advisors - Aligned Growth Engine Launch,active,false,6000.00,invoice,points,strategic,90175847186,project,,2026-01-12,,,,,,,Tier 1,89288697,89288697,,60.00,,2026-01-16 17:05:58.760796+00,2026-01-26 19:59:35.164145+00,MID20268205,,false,,,,
5d896ad4-1f5d-4464-959d-1d4c8f08f6f5,1a58c74e-d7c8-46df-a56b-c7dbddf7d9e6,9341454074930384,,53664186799,FoxyAI - Extension,FoxyAI - Extension,pending,false,3500.00,invoice,hours,tactical,,recurring,,2026-02-01,,,,,,,Tier 4,89312700,89288697,,35.00,,2026-01-12 15:57:28.639064+00,2026-01-12 15:57:28.639064+00,MID20264158,175,false,365,365,45,
e03f7d0c-27e6-4c01-9906-6795026319f1,c31ac06c-a408-4bd3-ab01-320c7357fc6e,193514801304854,2198,53284608394,Engage USA - Website Project,"Website plan, website build, and testimonials",active,false,15000.00,invoice,points,tactical,90175428513,project,,2026-01-08,,,,,,,Tier 1,89312700,50351772,,0.00,,2026-01-12 03:24:27.365986+00,2026-01-12 20:07:44.990152+00,MID20265733,,false,,,,
8abbb436-2532-4b71-851c-345971fb6976,4846139d-4bdb-453a-91b0-a924c55e37f5,193514801304854,2197,46815402,Rezku POS - Aligned Growth Engine Launch,Rezku POS - Aligned Growth Engine Launch,inactive,false,3000.00,invoice,points,strategic,90175301539,project,,2026-01-12,,,,,,,Tier 1,89288697,89288697,,30.00,,2026-01-06 16:30:06.822616+00,2026-02-05 03:10:28.080986+00,MID20267991,,false,,,,
4a5de0f1-d8e4-48ef-b0f4-f5ffdff3e45f,9aba6885-4a8b-4045-92ae-86d73eedd20d,193514801304854,2196,49134767250,CoachHub - ABM Aligned Growth Engine,Aligned Growth Engine focused on ABM,canceled,false,0.00,invoice,points,strategic,90174964255,project,,2025-12-14,,,,,,,Tier 1,89288697,89288697,,0.00,,2025-12-23 21:18:11.667536+00,2026-01-22 03:14:55.776132+00,MID20253071,,false,,,,
