assignee_email;assignee_username;contract_id;contract_name;date_created;date_done;list_type;points;status;status_raw;tags;task_id;task_name;time_spent
;;6061d0c2-de11-40b9-8824-1ccd80a970d6;Global Shared Services - Marketing Services;2026-03-09 19:33:39.776+00;2026-03-31 22:43:48.446+00;Deliverables;40;delivered;delivered;[];95d5c529-78a5-45d6-ad53-a3ebe896deab;Build 1:1 ABM contact list program (Pinpoint);
;;6a9f190a-9e44-4b24-8f1d-d82022950bb9;Agrippon - Marketing services;2026-03-26 22:17:56.957+00;2026-03-31 21:14:03.291+00;ToDos;;not_started;delivered;[];840839f0-e933-49b2-a349-673e50fe5614;Update website designs based on feedback;
;;6a6c0b83-0123-431f-843a-3b961aadb352;Rezku POS - Ongoing Services - Post AGE;2026-03-31 21:07:56.447+00;2026-03-31 21:13:23.323+00;Deliverables;15;archived;archived;[];b953f522-2417-41d7-b5c9-aa5765d7f25a;Set up performance reporting;
;;7b7f4acf-a215-4f42-8ea4-51bb4491b01b;Acacia Advisors - Ongoing Marketing Services;2026-02-17 15:44:40.454+00;2026-03-31 21:04:33.178+00;Deliverables;5;delivered;delivered;[];e3363fa5-73d8-48a7-bca7-b76b973c28f1;Manage performance reporting;
;;292bf658-a285-4fdd-a6e5-d352a30347c9;Sedra Solutions - Marketing services;2026-02-22 16:29:25.453+00;2026-03-31 20:34:56.068+00;Deliverables;5;delivered;delivered;[];d6f2f999-16d8-4c92-a032-6b3606b90414;Manage performance reporting (March);
;;ff2ef389-756d-4ece-b525-93fab32170d6;Planon - Marketing Services;2026-03-18 23:56:12.028+00;2026-03-31 20:34:49.05+00;Deliverables;5;delivered;delivered;[];2b357e80-5957-422a-9752-cfd11f00b123;Manage ABM (March);
;;3f032f15-833e-4d7d-9347-381febf6d953;PTO Exchange - Marketing Services;2026-02-27 16:53:29.943+00;2026-03-31 20:18:26.876+00;Deliverables;;delivered;delivered;[];0c352517-bb2e-487e-bc9c-a4b4a0c64f90;Support Request Window (March);
;;db0afec5-85bc-41b0-8c0f-79b368eb3b16;Rugged Robotics - Marketing services;2026-02-27 14:27:55.512+00;2026-03-31 20:15:27.961+00;Deliverables;8;delivered;delivered;[];df2d7de4-dd7b-4fae-9b42-a4b00b04462d;Manage paid media [March];
;;db0afec5-85bc-41b0-8c0f-79b368eb3b16;Rugged Robotics - Marketing services;2026-02-27 14:27:50.605+00;2026-03-31 20:15:21.788+00;Deliverables;5;delivered;delivered;[];21bdba30-a04e-4528-9e57-3b248c106b5f;Manage web [March];
;;db0afec5-85bc-41b0-8c0f-79b368eb3b16;Rugged Robotics - Marketing services;2026-02-27 14:27:46.629+00;2026-03-31 20:15:18.451+00;Deliverables;10;delivered;delivered;[];6b3ce03c-0dc7-45d2-9676-d50f7eb48c02;Tech stack [March];
